,index,Netflix,Hulu,Prime Video,Disney+,title,budget,company,country,director,genre,rating,score,star,votes,writer,original_language,popularity,revenue,runtime,release_year,release_month,release_day,class,score_prediction
1485,1484,0.0,0.0,0.0,0.0,The Illusionist,16000000.0,Other,USA,Other,Drama,PG-13,7.6,Other,317667,Other,en,37.0,86915017,110.0,2006,9,1,0,6.2
1486,1485,0.0,0.0,0.0,0.0,The Wraith,2700000.0,Other,USA,Other,Action,PG-13,5.9,Other,11743,Other,en,10.5,3500000,93.0,1986,11,21,0,6.0
1487,1486,0.0,0.0,0.0,0.0,Max Keeble's Big Move,25000000.0,Walt Disney Pictures,USA,Other,Comedy,PG,5.4,Other,6210,Other,en,1.1,17292381,86.0,2001,10,5,0,6.0
1488,1487,0.0,0.0,0.0,0.0,Ready to Rumble,24000000.0,Other,USA,Other,Comedy,PG-13,5.3,Other,12326,Other,en,3.1,12372410,107.0,2000,4,7,0,6.1
1489,1488,0.0,0.0,0.0,0.0,I Know What You Did Last Summer,17000000.0,Other,USA,Other,Horror,R,5.6,Other,113681,Other,en,27.7,125586134,100.5,1997,10,17,0,6.7
1490,1489,0.0,0.0,0.0,0.0,Batman & Robin,125000000.0,Warner Bros.,USA,Joel Schumacher,Action,PG-13,3.7,Other,203757,Other,en,50.1,238207122,125.0,1997,6,20,0,6.7
1491,1490,0.0,0.0,0.0,0.0,Maria Full of Grace,3000000.0,Other,Other,Other,Crime,R,7.5,Other,31647,Other,Other,3.0,0,101.0,2004,8,6,0,7.7
1492,1491,0.0,0.0,0.0,0.0,Two Lovers,12000000.0,Other,USA,Other,Drama,R,7.1,Other,31662,Other,en,8.3,3148182,110.0,2009,3,20,0,6.1
1493,1492,0.0,0.0,0.0,0.0,Four Brothers,45000000.0,Paramount Pictures,USA,Other,Action,R,6.9,Other,117650,Other,en,24.7,92374674,109.0,2005,8,12,0,6.0
1494,1493,0.0,0.0,0.0,0.0,Fever Pitch,30000000.0,Fox 2000 Pictures,USA,Bobby Farrelly,Comedy,PG-13,6.2,Other,38054,Other,en,10.0,50451307,103.5,2005,4,8,0,6.2
1495,1494,0.0,0.0,0.0,0.0,Machete,10500000.0,Other,USA,Other,Action,R,6.6,Other,174379,Other,en,26.4,31327899,105.0,2010,9,3,0,6.0
1496,1495,0.0,0.0,0.0,0.0,The Devil's Own,86000000.0,Columbia Pictures Corporation,USA,Other,Action,R,6.1,Other,49593,Other,en,15.4,140807547,109.0,1997,3,26,0,6.0
1497,1496,0.0,0.0,0.0,0.0,Blast from the Past,35000000.0,Other,USA,Other,Comedy,PG-13,6.6,Other,52422,Other,en,8.7,40263020,112.0,1999,2,12,0,6.7
1498,1497,0.0,0.0,0.0,0.0,10 Cloverfield Lane,15000000.0,Paramount Pictures,USA,Other,Drama,PG-13,7.2,Other,211123,Other,en,53.7,108286421,103.5,2016,3,11,0,6.6
1499,1498,0.0,0.0,0.0,0.0,Old Dogs,35000000.0,Walt Disney Pictures,USA,Other,Comedy,PG,5.4,Other,32884,Other,en,13.7,92219310,94.0,2009,11,25,0,6.0
1500,1499,0.0,0.0,0.0,0.0,21 Jump Street,42000000.0,Columbia Pictures,USA,Other,Action,R,7.2,Other,445993,Other,en,62.7,201585328,109.5,2012,3,16,0,6.1
1501,1500,0.0,0.0,0.0,0.0,Rudderless,5000000.0,Other,USA,Other,Comedy,R,7.5,Other,15018,Other,en,10.6,0,105.0,2015,2,21,0,6.5
1502,1501,0.0,0.0,0.0,0.0,Ride Along,25000000.0,Other,USA,Other,Action,PG-13,6.2,Other,85759,Other,en,28.5,153997819,99.0,2014,1,17,0,6.6
1503,1502,0.0,0.0,0.0,0.0,Leatherheads,58000000.0,Universal Pictures,USA,Other,Comedy,PG-13,6.0,George Clooney,28851,Other,en,7.7,41299492,114.0,2008,4,4,0,6.1
1504,1503,0.0,0.0,0.0,0.0,Knocked Up,30000000.0,Universal Pictures,USA,Other,Comedy,R,7.0,Other,314962,Other,en,22.5,219076518,129.0,2007,6,1,0,6.1
1505,1504,0.0,0.0,0.0,0.0,Once,160000.0,Other,Other,Other,Drama,R,7.9,Other,99172,Other,en,19.1,20710513,85.0,2007,6,15,0,6.3
1506,1505,0.0,0.0,0.0,0.0,Gods of Egypt,140000000.0,Other,USA,Other,Action,PG-13,5.4,Other,79750,Other,en,56.3,150680864,127.0,2016,2,26,0,6.3
1507,1506,0.0,0.0,0.0,0.0,Wicker Park,30000000.0,Metro Goldwyn Mayer,USA,Other,Drama,PG-13,7.0,Other,47492,Other,en,9.3,13001257,114.0,2004,9,3,0,6.1
1508,1507,0.0,0.0,0.0,0.0,The Lake House,40000000.0,Warner Bros.,USA,Other,Drama,PG,6.8,Other,121696,Other,en,29.9,114830111,99.0,2006,6,16,0,7.1
1509,1508,0.0,0.0,0.0,0.0,Oliver Twist,50000000.0,Other,Other,Other,Crime,PG-13,6.9,Other,27387,Other,en,20.4,42093706,130.0,2005,9,30,0,6.3
1510,1509,0.0,0.0,0.0,0.0,Jesus' Son,2500000.0,Other,USA,Other,Drama,R,7.0,Other,6447,Other,en,5.6,0,107.0,2000,7,7,0,6.6
1511,1510,0.0,0.0,0.0,0.0,Boys and Girls,35000000.0,Other,USA,Other,Comedy,PG-13,5.4,Other,14496,Other,en,9.1,20627372,94.0,2000,6,16,1,6.8
1512,1511,0.0,0.0,0.0,0.0,xXx,70000000.0,Other,USA,Other,Action,PG-13,5.8,Other,157432,Other,en,46.2,277448382,124.0,2002,8,9,2,7.4
1513,1512,0.0,0.0,0.0,0.0,Army of Darkness,11000000.0,Other,USA,Other,Comedy,R,7.6,Other,140054,Other,en,33.8,0,81.0,1993,2,19,1,8.6
1514,1513,0.0,0.0,0.0,0.0,The Siege,70000000.0,Twentieth Century Fox Film Corporation,USA,Other,Action,R,6.3,Denzel Washington,61395,Other,en,20.1,116672912,116.0,1998,11,6,0,6.6
1515,1514,0.0,0.0,0.0,0.0,Coraline,60000000.0,Other,USA,Other,Animation,PG,7.7,Other,162544,Other,en,51.1,124596398,100.0,2009,2,6,0,8.2
1516,1515,0.0,0.0,0.0,0.0,Nim's Island,37000000.0,Other,USA,Other,Adventure,PG,6.0,Other,29941,Other,en,14.4,100076342,96.0,2008,4,4,0,7.9
1517,1516,0.0,0.0,0.0,0.0,Big Momma's House,30000000.0,Twentieth Century Fox Film Corporation,USA,Other,Action,PG-13,5.1,Other,71669,Other,en,24.4,173959438,98.5,2000,6,2,0,7.0
